Day,Cage,trt,Response
1,1,T2,42
2,1,T1,44
2,2,T2,42
3,1,T1,25
3,2,T3,33
3,3,T2,34
4,1,T1,38
5,2,T1,17
5,3,T2,25
6,1,T2,30
6,2,T3,24
6,3,T1,36
7,1,T2,37
7,2,T3,31
7,3,T1,23
8,1,T1,31
8,2,T2,30
9,1,T1,25
9,2,T2,37
9,3,T3,30
10,1,T2,30
10,2,T3,23
10,3,T1,25
11,1,T3,21
11,2,T1,22
11,3,T2,34
12,1,T2,37
12,2,T3,35
12,3,T1,39
13,1,T1,31
13,3,T2,23
14,1,T2,31
14,2,T1,32
14,3,T3,26
15,1,T3,31
15,2,T1,27
15,3,T2,41
16,1,T2,40
16,2,T3,37
17,1,T2,34
17,2,T3,39
18,1,T2,42
18,2,T3,41
19,1,T3,42
19,2,T3,39
20,1,T1,41
20,2,T2,32
21,1,T2,41
21,2,T3,39
22,1,T3,40
22,2,T2,37
23,1,T1,40
23,2,T3,37
24,1,T2,36
24,2,T2,41
25,1,T2,38
25,2,T1,34
26,1,T3,29
26,2,T1,37
27,1,T3,39
27,2,T1,36
28,1,T1,39
28,2,T3,39
29,1,T2,33
29,2,T3,39
30,1,T1,42
30,2,T2,42
